experiment,model,metric,comparison,mean_a,mean_b,delta,wilcoxon_p,sig
qwen_family_7b14b,Qwen2.5-14B,correction_success,C2 vs C1,0.8999999999999999,0.0,0.8999999999999999,1.4774824755089746e-10,***
qwen_family_7b14b,Qwen2.5-14B,correction_success,C3 vs C1,0.857142857142857,0.0,0.857142857142857,1.626509790363618e-11,***
qwen_family_7b14b,Qwen2.5-14B,correction_success,C3 vs C2,0.857142857142857,0.8999999999999999,-0.042857142857142864,0.00021364141284405997,***
qwen_family_7b14b,Qwen2.5-14B,repeated_error,C2 vs C1,0.1,0.8485714285714284,-0.7485714285714287,5.716574152842589e-10,***
qwen_family_7b14b,Qwen2.5-14B,repeated_error,C3 vs C1,0.14285714285714285,0.8485714285714284,-0.7057142857142857,5.103471910926048e-10,***
qwen_family_7b14b,Qwen2.5-14B,repeated_error,C3 vs C2,0.14285714285714285,0.1,0.04285714285714286,0.0002747267638079423,***
qwen_family_7b14b,Qwen2.5-7B,correction_success,C2 vs C1,0.8514285714285714,0.0,0.8514285714285714,2.37434584236676e-10,***
qwen_family_7b14b,Qwen2.5-7B,correction_success,C3 vs C1,0.8971428571428571,0.0,0.8971428571428571,2.1007369229324622e-10,***
qwen_family_7b14b,Qwen2.5-7B,correction_success,C3 vs C2,0.8971428571428571,0.8514285714285714,0.045714285714285714,0.02876826058785922,*
qwen_family_7b14b,Qwen2.5-7B,repeated_error,C2 vs C1,0.11714285714285713,0.7771428571428571,-0.66,6.815969498768731e-10,***
qwen_family_7b14b,Qwen2.5-7B,repeated_error,C3 vs C1,0.07714285714285714,0.7771428571428571,-0.7000000000000002,6.569325690709148e-10,***
qwen_family_7b14b,Qwen2.5-7B,repeated_error,C3 vs C2,0.07714285714285714,0.11714285714285713,-0.039999999999999994,0.029119015437454585,*
cross_arch,Gemma2-9B,correction_success,C2 vs C1,0.9028571428571426,0.0,0.9028571428571426,2.396717365263057e-10,***
cross_arch,Gemma2-9B,correction_success,C3 vs C1,0.9199999999999998,0.0,0.9199999999999998,2.0421984902680288e-10,***
cross_arch,Gemma2-9B,correction_success,C3 vs C2,0.9199999999999998,0.9028571428571426,0.01714285714285714,0.39710564354442124,ns
cross_arch,Gemma2-9B,repeated_error,C2 vs C1,0.04285714285714286,0.6914285714285715,-0.6485714285714286,6.46907127005903e-10,***
cross_arch,Gemma2-9B,repeated_error,C3 vs C1,0.05999999999999999,0.6914285714285715,-0.6314285714285715,6.591961144590194e-10,***
cross_arch,Gemma2-9B,repeated_error,C3 vs C2,0.05999999999999999,0.04285714285714286,0.01714285714285714,0.13361440253771614,ns
cross_arch,Llama3.1-8B,correction_success,C2 vs C1,0.8571428571428571,0.0,0.8571428571428571,3.717483053680708e-10,***
cross_arch,Llama3.1-8B,correction_success,C3 vs C1,0.8457142857142856,0.0,0.8457142857142856,3.579083875271877e-10,***
cross_arch,Llama3.1-8B,correction_success,C3 vs C2,0.8457142857142856,0.8571428571428571,-0.01142857142857143,0.4181768242017456,ns
cross_arch,Llama3.1-8B,repeated_error,C2 vs C1,0.10285714285714287,0.8599999999999999,-0.7571428571428571,6.429060592325043e-10,***
cross_arch,Llama3.1-8B,repeated_error,C3 vs C1,0.10285714285714284,0.8599999999999999,-0.7571428571428571,6.330734081877648e-10,***
cross_arch,Llama3.1-8B,repeated_error,C3 vs C2,0.10285714285714284,0.10285714285714287,0.0,1.0,ns
cross_arch,Mistral-7B,correction_success,C2 vs C1,0.6971428571428571,0.0,0.6971428571428571,4.872982620639113e-10,***
cross_arch,Mistral-7B,correction_success,C3 vs C1,0.7914285714285714,0.0,0.7914285714285714,5.190575448408754e-10,***
cross_arch,Mistral-7B,correction_success,C3 vs C2,0.7914285714285714,0.6971428571428571,0.0942857142857143,0.000532189455922111,***
cross_arch,Mistral-7B,repeated_error,C2 vs C1,0.29428571428571426,0.9314285714285714,-0.6371428571428571,6.530256356950255e-10,***
cross_arch,Mistral-7B,repeated_error,C3 vs C1,0.19999999999999996,0.9314285714285714,-0.7314285714285715,6.4128238277843e-10,***
cross_arch,Mistral-7B,repeated_error,C3 vs C2,0.19999999999999996,0.29428571428571426,-0.09428571428571429,0.0005120729407544291,***
