dataset,condition,condition_label,n,factual_correctness_mean,factual_correctness_sd,persona_consistency_mean,tone_match_mean,memory_use_mean,coherence_mean,safety_compliance_mean,judge_correction_success_rate,judge_repeated_error_rate
cross_arch,C0,C0 No memory,120,1.2166666666666666,0.7579642497648348,3.125,3.3916666666666666,1.1916666666666667,3.625,4.908333333333333,0.025,0.9166666666666666
cross_arch,C1,C1 Positive-only memory,120,1.3,0.8361576788295053,3.091666666666667,3.3,1.2333333333333334,3.433333333333333,4.858333333333333,0.025,0.8916666666666667
cross_arch,C2,C2 Error memory,120,4.883333333333334,0.6505761290732146,4.733333333333333,4.741666666666666,4.883333333333334,4.816666666666666,5.0,0.9666666666666667,0.03333333333333333
cross_arch,C3,C3 Mixed memory,120,4.933333333333334,0.5142234633971141,4.775,4.75,4.933333333333334,4.75,4.991666666666666,0.9833333333333333,0.016666666666666666
cross_arch,C4,C4 Direct Correction Baseline,120,4.925,0.4521191930297611,4.775,4.775,4.908333333333333,4.841666666666667,5.0,0.975,0.008333333333333333
main_qwen7b14b,C0,C0 No memory,80,1.2,0.5824435649306411,3.175,3.525,1.1875,3.725,4.95,0.0,0.8875
main_qwen7b14b,C1,C1 Positive-only memory,80,1.0875,0.3959845924633362,3.0625,3.3125,1.05,3.4875,4.95,0.0,0.9625
main_qwen7b14b,C2,C2 Error memory,80,4.95,0.4472135954999579,4.8375,4.85,4.95,4.875,5.0,0.9875,0.0125
main_qwen7b14b,C3,C3 Mixed memory,80,4.975,0.22360679774997896,4.9125,4.9125,4.9625,4.9,5.0,0.9875,0.0
main_qwen7b14b,C4,C4 Direct Correction Baseline,80,4.9375,0.3316147681126094,4.8875,4.8875,4.9375,4.9125,5.0,0.9625,0.0
