model,condition,mean_latency_ms,p95_latency_ms,mean_input_tokens,mean_output_tokens,n_turns
local_transformers:Qwen2___5-0___5B-Instruct,C0,430.22857142857146,444.0,104.52571428571429,53.082857142857144,350
local_transformers:Qwen2___5-0___5B-Instruct,C1,430.9485714285714,442.0,104.52571428571429,53.465714285714284,350
local_transformers:Qwen2___5-0___5B-Instruct,C2,430.2857142857143,449.0,203.25714285714287,50.90571428571429,350
local_transformers:Qwen2___5-0___5B-Instruct,C3,440.27714285714285,448.55,220.51142857142858,51.46857142857143,350
local_transformers:Qwen2___5-0___5B-Instruct,C4,427.52285714285716,443.0,136.80285714285714,51.822857142857146,350
local_transformers:Qwen2___5-3B-Instruct,C0,623.4142857142857,652.55,104.52571428571429,51.4,350
local_transformers:Qwen2___5-3B-Instruct,C1,633.6342857142857,656.0,104.52571428571429,51.511428571428574,350
local_transformers:Qwen2___5-3B-Instruct,C2,651.4171428571428,665.0,170.67142857142858,50.56,350
local_transformers:Qwen2___5-3B-Instruct,C3,652.24,664.0,207.23142857142858,49.59428571428571,350
local_transformers:Qwen2___5-3B-Instruct,C4,633.26,657.55,136.80285714285714,49.32,350
