model,condition,correction_success_rate,repeated_error_rate,memory_recall_accuracy,persona_consistency_score,long_term_coherence_score,mean_latency_ms,p95_latency_ms,mean_input_tokens,mean_output_tokens,n_turns
local_transformers:Qwen2___5-0___5B-Instruct,C0,0.0,0.35428571428571426,0.0,2.0,3.0,430.22857142857146,444.0,104.52571428571429,53.082857142857144,350
local_transformers:Qwen2___5-0___5B-Instruct,C1,0.0,0.3942857142857143,0.0,2.0,3.0,430.9485714285714,442.0,104.52571428571429,53.465714285714284,350
local_transformers:Qwen2___5-0___5B-Instruct,C2,0.38857142857142857,0.08285714285714285,0.38857142857142857,3.165714285714286,3.777142857142857,430.2857142857143,449.0,203.25714285714287,50.90571428571429,350
local_transformers:Qwen2___5-0___5B-Instruct,C3,0.35428571428571426,0.09428571428571429,0.35428571428571426,3.0628571428571427,3.7085714285714286,440.27714285714285,448.55,220.51142857142858,51.46857142857143,350
local_transformers:Qwen2___5-0___5B-Instruct,C4,0.41714285714285715,0.07142857142857142,0.41714285714285715,3.2514285714285713,3.834285714285714,427.52285714285716,443.0,136.80285714285714,51.822857142857146,350
local_transformers:Qwen2___5-3B-Instruct,C0,0.0,0.7742857142857142,0.0,2.0,3.0,623.4142857142857,652.55,104.52571428571429,51.4,350
local_transformers:Qwen2___5-3B-Instruct,C1,0.0,0.74,0.0,2.0,3.0,633.6342857142857,656.0,104.52571428571429,51.511428571428574,350
local_transformers:Qwen2___5-3B-Instruct,C2,0.6971428571428572,0.26857142857142857,0.6971428571428572,4.091428571428572,4.394285714285714,651.4171428571428,665.0,170.67142857142858,50.56,350
local_transformers:Qwen2___5-3B-Instruct,C3,0.8,0.17142857142857143,0.8,4.4,4.6,652.24,664.0,207.23142857142858,49.59428571428571,350
local_transformers:Qwen2___5-3B-Instruct,C4,0.6857142857142857,0.2914285714285714,0.6857142857142857,4.057142857142857,4.371428571428571,633.26,657.55,136.80285714285714,49.32,350
