model,condition,correction_success_rate,repeated_error_rate,memory_recall_accuracy,persona_consistency_score,long_term_coherence_score,mean_latency_ms,p95_latency_ms,mean_input_tokens,mean_output_tokens,n_turns,condition_label
local_transformers:Qwen2___5-14B-Instruct,C0,0.0,0.8314285714285714,0.0,2.0,3.0,1265.64,1277.0,142.46,54.434285714285714,350,C0 No memory
local_transformers:Qwen2___5-14B-Instruct,C1,0.0,0.8485714285714285,0.0,2.0,3.0,1264.7742857142855,1268.0,142.46,54.46571428571429,350,C1 Positive-only memory
local_transformers:Qwen2___5-14B-Instruct,C2,0.9,0.1,0.9,4.7,4.8,1263.4942857142858,1271.0,186.6742857142857,54.26571428571429,350,C2 Error memory
local_transformers:Qwen2___5-14B-Instruct,C3,0.8571428571428571,0.1428571428571428,0.8571428571428571,4.571428571428571,4.714285714285714,1273.6542857142856,1286.0,241.57142857142856,54.745714285714286,350,C3 Mixed memory
local_transformers:Qwen2___5-14B-Instruct,C4,0.8714285714285714,0.1057142857142857,0.8714285714285714,4.614285714285714,4.742857142857143,1262.74,1270.0,174.43714285714285,54.23714285714286,350,C4 Direct Correction Baseline
local_transformers:Qwen2___5-7B-Instruct,C0,0.0,0.7742857142857142,0.0,2.0,3.0,630.4485714285714,694.0,142.46,47.27428571428572,350,C0 No memory
local_transformers:Qwen2___5-7B-Instruct,C1,0.0,0.7771428571428571,0.0,2.0,3.0,625.8628571428571,694.0,142.46,47.14571428571429,350,C1 Positive-only memory
local_transformers:Qwen2___5-7B-Instruct,C2,0.8514285714285714,0.1171428571428571,0.8514285714285714,4.554285714285714,4.702857142857143,572.2314285714285,695.0,193.04,42.957142857142856,350,C2 Error memory
local_transformers:Qwen2___5-7B-Instruct,C3,0.8971428571428571,0.0771428571428571,0.8971428571428571,4.691428571428571,4.7942857142857145,594.8085714285714,701.0,240.22285714285715,44.151428571428575,350,C3 Mixed memory
local_transformers:Qwen2___5-7B-Instruct,C4,0.8114285714285714,0.1428571428571428,0.8114285714285714,4.434285714285714,4.622857142857143,581.0542857142857,695.0,174.43714285714285,43.34857142857143,350,C4 Direct Correction Baseline
