experiment,metric,comparison,n_pairs,mean_a,mean_b,mean_diff,direction,paired_t_p,wilcoxon_p,primary_p,significance,significant_0.05
cross_arch_8b9b,correction_success,C2_minus_C1,150,0.8190476190476189,0.0,0.8190476190476189,increase,3.30965774285567e-113,3.579325713113447e-27,3.579325713113447e-27,***,True
cross_arch_8b9b,correction_success,C3_minus_C1,150,0.8523809523809522,0.0,0.8523809523809522,increase,1.083741159107728e-124,3.0330023913609642e-27,3.0330023913609642e-27,***,True
cross_arch_8b9b,correction_success,C2_minus_C0,150,0.8190476190476189,0.0028571428571428,0.8161904761904761,increase,9.874873227014182e-113,4.3646075995567225e-27,4.3646075995567225e-27,***,True
cross_arch_8b9b,correction_success,C3_minus_C2,150,0.8523809523809522,0.8190476190476189,0.0333333333333333,increase,0.0040595568666643,0.0110565739102843,0.0110565739102843,*,True
cross_arch_8b9b,correction_success,C4_minus_C2,150,0.8257142857142856,0.8190476190476189,0.0066666666666666,increase,0.5544497145889902,0.3443712317970292,0.3443712317970292,ns,False
cross_arch_8b9b,repeated_error,C2_minus_C1,150,0.1466666666666665,0.8276190476190476,-0.680952380952381,decrease,2.415079081067416e-89,1.6885742595207364e-26,1.6885742595207364e-26,***,True
cross_arch_8b9b,repeated_error,C3_minus_C1,150,0.1209523809523809,0.8276190476190476,-0.7066666666666667,decrease,1.2599406308316514e-94,1.717327399090431e-26,1.717327399090431e-26,***,True
cross_arch_8b9b,repeated_error,C2_minus_C0,150,0.1466666666666665,0.8209523809523809,-0.6742857142857143,decrease,7.904483230253052e-90,1.6671142956288682e-26,1.6671142956288682e-26,***,True
cross_arch_8b9b,repeated_error,C3_minus_C2,150,0.1209523809523809,0.1466666666666665,-0.0257142857142857,decrease,0.0196279142300253,0.0196277278970679,0.0196277278970679,*,True
cross_arch_8b9b,repeated_error,C4_minus_C2,150,0.1276190476190476,0.1466666666666665,-0.019047619047619,decrease,0.0517543253607769,0.0443280521922808,0.0443280521922808,*,True
cross_arch_8b9b,memory_recall,C2_minus_C1,150,0.8190476190476189,0.0,0.8190476190476189,increase,3.30965774285567e-113,3.579325713113447e-27,3.579325713113447e-27,***,True
cross_arch_8b9b,memory_recall,C3_minus_C1,150,0.8523809523809522,0.0,0.8523809523809522,increase,1.083741159107728e-124,3.0330023913609642e-27,3.0330023913609642e-27,***,True
cross_arch_8b9b,memory_recall,C2_minus_C0,150,0.8190476190476189,0.0,0.8190476190476189,increase,3.30965774285567e-113,3.579325713113447e-27,3.579325713113447e-27,***,True
cross_arch_8b9b,memory_recall,C3_minus_C2,150,0.8523809523809522,0.8190476190476189,0.0333333333333333,increase,0.0040595568666643,0.0110565739102843,0.0110565739102843,*,True
cross_arch_8b9b,memory_recall,C4_minus_C2,150,0.8257142857142856,0.8190476190476189,0.0066666666666666,increase,0.5544497145889902,0.3443712317970292,0.3443712317970292,ns,False
main_7b14b_qwen,correction_success,C2_minus_C1,100,0.8757142857142859,0.0,0.8757142857142859,increase,2.3243559470193717e-102,2.647288263249842e-19,2.647288263249842e-19,***,True
main_7b14b_qwen,correction_success,C3_minus_C1,100,0.8771428571428572,0.0,0.8771428571428572,increase,1.2454231292025864e-110,5.162433537152475e-20,5.162433537152475e-20,***,True
main_7b14b_qwen,correction_success,C2_minus_C0,100,0.8757142857142859,0.0,0.8757142857142859,increase,2.3243559470193717e-102,2.647288263249842e-19,2.647288263249842e-19,***,True
main_7b14b_qwen,correction_success,C3_minus_C2,100,0.8771428571428572,0.8757142857142859,0.0014285714285714,increase,0.8848881179859583,0.576386037627698,0.576386037627698,ns,False
main_7b14b_qwen,correction_success,C4_minus_C2,100,0.8414285714285716,0.8757142857142859,-0.0342857142857142,decrease,0.00230396571269,0.012953995962057,0.012953995962057,*,True
main_7b14b_qwen,repeated_error,C2_minus_C1,100,0.1085714285714285,0.8128571428571427,-0.7042857142857143,decrease,4.0446924427778736e-66,2.8819805348302143e-18,2.8819805348302143e-18,***,True
main_7b14b_qwen,repeated_error,C3_minus_C1,100,0.1099999999999999,0.8128571428571427,-0.7028571428571426,decrease,5.678559966859556e-69,2.5853838265991273e-18,2.5853838265991273e-18,***,True
main_7b14b_qwen,repeated_error,C2_minus_C0,100,0.1085714285714285,0.8028571428571428,-0.6942857142857143,decrease,5.535367669090822e-65,2.938650523159233e-18,2.938650523159233e-18,***,True
main_7b14b_qwen,repeated_error,C3_minus_C2,100,0.1099999999999999,0.1085714285714285,0.0014285714285714,increase,0.8971874346388742,0.925264104148813,0.925264104148813,ns,False
main_7b14b_qwen,repeated_error,C4_minus_C2,100,0.1242857142857142,0.1085714285714285,0.0157142857142857,increase,0.1802967108611419,0.1825336507703536,0.1825336507703536,ns,False
main_7b14b_qwen,memory_recall,C2_minus_C1,100,0.8757142857142859,0.0,0.8757142857142859,increase,2.3243559470193717e-102,2.647288263249842e-19,2.647288263249842e-19,***,True
main_7b14b_qwen,memory_recall,C3_minus_C1,100,0.8771428571428572,0.0,0.8771428571428572,increase,1.2454231292025864e-110,5.162433537152475e-20,5.162433537152475e-20,***,True
main_7b14b_qwen,memory_recall,C2_minus_C0,100,0.8757142857142859,0.0,0.8757142857142859,increase,2.3243559470193717e-102,2.647288263249842e-19,2.647288263249842e-19,***,True
main_7b14b_qwen,memory_recall,C3_minus_C2,100,0.8771428571428572,0.8757142857142859,0.0014285714285714,increase,0.8848881179859583,0.576386037627698,0.576386037627698,ns,False
main_7b14b_qwen,memory_recall,C4_minus_C2,100,0.8414285714285716,0.8757142857142859,-0.0342857142857142,decrease,0.00230396571269,0.012953995962057,0.012953995962057,*,True
