dataset,model,condition,condition_label,n,factual_correctness_mean,persona_consistency_mean,memory_use_mean,judge_correction_success_rate,judge_repeated_error_rate
cross_arch,local_transformers:gemma2_9b_it,C0,C0 No memory,40,1.375,3.1,1.275,0.05,0.85
cross_arch,local_transformers:gemma2_9b_it,C1,C1 Positive-only memory,40,1.3,3.0,1.175,0.0,0.85
cross_arch,local_transformers:gemma2_9b_it,C2,C2 Error memory,40,4.8,4.725,4.8,0.95,0.05
cross_arch,local_transformers:gemma2_9b_it,C3,C3 Mixed memory,40,5.0,4.9,5.0,1.0,0.0
cross_arch,local_transformers:gemma2_9b_it,C4,C4 Direct Correction Baseline,40,4.85,4.825,4.825,0.95,0.025
cross_arch,local_transformers:llama31_8b_instruct,C0,C0 No memory,40,1.175,3.225,1.2,0.0,0.925
cross_arch,local_transformers:llama31_8b_instruct,C1,C1 Positive-only memory,40,1.15,3.125,1.15,0.0,0.95
cross_arch,local_transformers:llama31_8b_instruct,C2,C2 Error memory,40,4.85,4.625,4.85,0.95,0.05
cross_arch,local_transformers:llama31_8b_instruct,C3,C3 Mixed memory,40,4.9,4.475,4.9,0.975,0.025
cross_arch,local_transformers:llama31_8b_instruct,C4,C4 Direct Correction Baseline,40,4.925,4.65,4.9,0.975,0.0
cross_arch,local_transformers:mistral7b_instruct_v03,C0,C0 No memory,40,1.1,3.05,1.1,0.025,0.975
cross_arch,local_transformers:mistral7b_instruct_v03,C1,C1 Positive-only memory,40,1.45,3.15,1.375,0.075,0.875
cross_arch,local_transformers:mistral7b_instruct_v03,C2,C2 Error memory,40,5.0,4.85,5.0,1.0,0.0
cross_arch,local_transformers:mistral7b_instruct_v03,C3,C3 Mixed memory,40,4.9,4.95,4.9,0.975,0.025
cross_arch,local_transformers:mistral7b_instruct_v03,C4,C4 Direct Correction Baseline,40,5.0,4.85,5.0,1.0,0.0
main_qwen7b14b,local_transformers:Qwen2___5-14B-Instruct,C0,C0 No memory,40,1.225,3.2,1.175,0.0,0.875
main_qwen7b14b,local_transformers:Qwen2___5-14B-Instruct,C1,C1 Positive-only memory,40,1.1,3.125,1.05,0.0,0.95
main_qwen7b14b,local_transformers:Qwen2___5-14B-Instruct,C2,C2 Error memory,40,5.0,4.875,5.0,1.0,0.0
main_qwen7b14b,local_transformers:Qwen2___5-14B-Instruct,C3,C3 Mixed memory,40,5.0,5.0,5.0,1.0,0.0
main_qwen7b14b,local_transformers:Qwen2___5-14B-Instruct,C4,C4 Direct Correction Baseline,40,5.0,5.0,5.0,1.0,0.0
main_qwen7b14b,local_transformers:Qwen2___5-7B-Instruct,C0,C0 No memory,40,1.175,3.15,1.2,0.0,0.9
main_qwen7b14b,local_transformers:Qwen2___5-7B-Instruct,C1,C1 Positive-only memory,40,1.075,3.0,1.05,0.0,0.975
main_qwen7b14b,local_transformers:Qwen2___5-7B-Instruct,C2,C2 Error memory,40,4.9,4.8,4.9,0.975,0.025
main_qwen7b14b,local_transformers:Qwen2___5-7B-Instruct,C3,C3 Mixed memory,40,4.95,4.825,4.925,0.975,0.0
main_qwen7b14b,local_transformers:Qwen2___5-7B-Instruct,C4,C4 Direct Correction Baseline,40,4.875,4.775,4.875,0.925,0.0
