seed,condition,n_turns,correction_success_rate,repeated_error_rate,memory_recall_accuracy,latency_ms_mean
7,C0,700,0.0,0.8028571428571428,0.0,948.0442857142857
7,C1,700,0.0,0.8128571428571428,0.0,945.3185714285714
7,C2,700,0.8757142857142857,0.10857142857142857,0.8757142857142857,917.8628571428571
7,C3,700,0.8771428571428571,0.11,0.8771428571428571,934.2314285714285
7,C4,700,0.8414285714285714,0.12428571428571429,0.8414285714285714,921.8971428571429
11,C0,700,0.0,0.8028571428571428,0.0,946.3771428571429
11,C1,700,0.0,0.8128571428571428,0.0,944.6471428571429
11,C2,700,0.8757142857142857,0.10857142857142857,0.8757142857142857,918.3057142857143
11,C3,700,0.8771428571428571,0.11,0.8771428571428571,933.8657142857143
11,C4,700,0.8414285714285714,0.12428571428571429,0.8414285714285714,921.46
13,C0,700,0.0,0.8028571428571428,0.0,946.2428571428571
13,C1,700,0.0,0.8128571428571428,0.0,944.5142857142857
13,C2,700,0.8757142857142857,0.10857142857142857,0.8757142857142857,917.2285714285714
13,C3,700,0.8771428571428571,0.11,0.8771428571428571,933.8385714285714
13,C4,700,0.8414285714285714,0.12428571428571429,0.8414285714285714,921.3385714285714
