seed,model,condition,n_turns,correction_success_rate,repeated_error_rate,memory_recall_accuracy
7,local_transformers:Qwen2___5-14B-Instruct,C0,350,0.0,0.8314285714285714,0.0
7,local_transformers:Qwen2___5-14B-Instruct,C1,350,0.0,0.8485714285714285,0.0
7,local_transformers:Qwen2___5-14B-Instruct,C2,350,0.9,0.1,0.9
7,local_transformers:Qwen2___5-14B-Instruct,C3,350,0.8571428571428571,0.14285714285714285,0.8571428571428571
7,local_transformers:Qwen2___5-14B-Instruct,C4,350,0.8714285714285714,0.10571428571428572,0.8714285714285714
7,local_transformers:Qwen2___5-7B-Instruct,C0,350,0.0,0.7742857142857142,0.0
7,local_transformers:Qwen2___5-7B-Instruct,C1,350,0.0,0.7771428571428571,0.0
7,local_transformers:Qwen2___5-7B-Instruct,C2,350,0.8514285714285714,0.11714285714285715,0.8514285714285714
7,local_transformers:Qwen2___5-7B-Instruct,C3,350,0.8971428571428571,0.07714285714285714,0.8971428571428571
7,local_transformers:Qwen2___5-7B-Instruct,C4,350,0.8114285714285714,0.14285714285714285,0.8114285714285714
11,local_transformers:Qwen2___5-14B-Instruct,C0,350,0.0,0.8314285714285714,0.0
11,local_transformers:Qwen2___5-14B-Instruct,C1,350,0.0,0.8485714285714285,0.0
11,local_transformers:Qwen2___5-14B-Instruct,C2,350,0.9,0.1,0.9
11,local_transformers:Qwen2___5-14B-Instruct,C3,350,0.8571428571428571,0.14285714285714285,0.8571428571428571
11,local_transformers:Qwen2___5-14B-Instruct,C4,350,0.8714285714285714,0.10571428571428572,0.8714285714285714
11,local_transformers:Qwen2___5-7B-Instruct,C0,350,0.0,0.7742857142857142,0.0
11,local_transformers:Qwen2___5-7B-Instruct,C1,350,0.0,0.7771428571428571,0.0
11,local_transformers:Qwen2___5-7B-Instruct,C2,350,0.8514285714285714,0.11714285714285715,0.8514285714285714
11,local_transformers:Qwen2___5-7B-Instruct,C3,350,0.8971428571428571,0.07714285714285714,0.8971428571428571
11,local_transformers:Qwen2___5-7B-Instruct,C4,350,0.8114285714285714,0.14285714285714285,0.8114285714285714
13,local_transformers:Qwen2___5-14B-Instruct,C0,350,0.0,0.8314285714285714,0.0
13,local_transformers:Qwen2___5-14B-Instruct,C1,350,0.0,0.8485714285714285,0.0
13,local_transformers:Qwen2___5-14B-Instruct,C2,350,0.9,0.1,0.9
13,local_transformers:Qwen2___5-14B-Instruct,C3,350,0.8571428571428571,0.14285714285714285,0.8571428571428571
13,local_transformers:Qwen2___5-14B-Instruct,C4,350,0.8714285714285714,0.10571428571428572,0.8714285714285714
13,local_transformers:Qwen2___5-7B-Instruct,C0,350,0.0,0.7742857142857142,0.0
13,local_transformers:Qwen2___5-7B-Instruct,C1,350,0.0,0.7771428571428571,0.0
13,local_transformers:Qwen2___5-7B-Instruct,C2,350,0.8514285714285714,0.11714285714285715,0.8514285714285714
13,local_transformers:Qwen2___5-7B-Instruct,C3,350,0.8971428571428571,0.07714285714285714,0.8971428571428571
13,local_transformers:Qwen2___5-7B-Instruct,C4,350,0.8114285714285714,0.14285714285714285,0.8114285714285714
