dataset,condition,condition_label,n,factual_correctness_mean,factual_correctness_sd,persona_consistency_mean,tone_match_mean,memory_use_mean,coherence_mean,safety_compliance_mean,judge_correction_success_rate,judge_repeated_error_rate
cross_arch,C0,C0 No memory,120,1.2666666666666666,0.8573295781683032,3.25,3.2,1.2666666666666666,2.9916666666666667,4.908333333333333,0.03333333333333333,0.8666666666666667
cross_arch,C1,C1 Positive-only memory,120,1.3,0.8754350659082883,3.191666666666667,3.033333333333333,1.275,2.925,4.9,0.03333333333333333,0.8333333333333334
cross_arch,C2,C2 Error memory,120,4.95,0.4068737131929205,4.9,4.741666666666666,4.95,4.691666666666666,5.0,0.9833333333333333,0.008333333333333333
cross_arch,C3,C3 Mixed memory,120,4.975,0.273861278752583,4.875,4.716666666666667,4.966666666666667,4.616666666666666,4.991666666666666,0.9916666666666667,0.008333333333333333
cross_arch,C4,C4 Direct Correction Baseline,120,4.933333333333334,0.44407080466049637,4.941666666666666,4.85,4.933333333333334,4.791666666666667,5.0,0.975,0.0
main_qwen7b14b,C0,C0 No memory,80,1.2875,0.6970779881182502,3.2625,3.2875,1.275,3.175,4.95,0.0,0.8125
main_qwen7b14b,C1,C1 Positive-only memory,80,1.1,0.43864001560635035,3.1625,3.1625,1.0625,2.875,4.925,0.0,0.875
main_qwen7b14b,C2,C2 Error memory,80,4.95,0.4472135954999579,4.9625,4.8625,4.95,4.8875,5.0,0.9875,0.0125
main_qwen7b14b,C3,C3 Mixed memory,80,4.975,0.22360679774997896,4.9875,4.8125,4.95,4.8375,5.0,0.9875,0.0
main_qwen7b14b,C4,C4 Direct Correction Baseline,80,4.925,0.3823643964146892,4.9625,4.8375,4.925,4.85,5.0,0.9625,0.0
