model,condition,correction_success_rate,repeated_error_rate,memory_recall_accuracy,persona_consistency_score,long_term_coherence_score,mean_latency_ms,p95_latency_ms,mean_input_tokens,mean_output_tokens,n_turns
local_transformers:gemma2_9b_it,C0,0.008571428571428572,0.6771428571428572,0.0,2.025714285714286,3.0171428571428573,597.1514285714286,1079.0,142.46,23.414285714285715,350
local_transformers:gemma2_9b_it,C1,0.0,0.6914285714285714,0.0,2.0,3.0,595.9914285714286,1079.0,142.46,23.451428571428572,350
local_transformers:gemma2_9b_it,C2,0.9028571428571428,0.04285714285714286,0.9028571428571428,4.708571428571428,4.805714285714286,473.02,1081.55,184.94,17.917142857142856,350
local_transformers:gemma2_9b_it,C3,0.92,0.06,0.92,4.76,4.84,473.1,961.6500000000001,239.17714285714285,17.314285714285713,350
local_transformers:gemma2_9b_it,C4,0.8542857142857143,0.05142857142857143,0.8542857142857143,4.562857142857143,4.708571428571428,502.14285714285717,1082.0,174.43714285714285,19.071428571428573,350
local_transformers:llama31_8b_instruct,C0,0.0,0.8628571428571429,0.0,2.0,3.0,719.5485714285714,728.55,142.46,48.12,350
local_transformers:llama31_8b_instruct,C1,0.0,0.86,0.0,2.0,3.0,718.2685714285715,722.0,142.46,48.294285714285714,350
local_transformers:llama31_8b_instruct,C2,0.8571428571428571,0.10285714285714286,0.8571428571428571,4.571428571428571,4.714285714285714,720.8485714285714,727.0,190.52285714285713,46.997142857142855,350
local_transformers:llama31_8b_instruct,C3,0.8457142857142858,0.10285714285714286,0.8457142857142858,4.537142857142857,4.691428571428571,724.7685714285715,732.0,241.34571428571428,47.38,350
local_transformers:llama31_8b_instruct,C4,0.8514285714285714,0.10285714285714286,0.8514285714285714,4.554285714285714,4.702857142857143,719.92,723.0,174.43714285714285,48.06,350
local_transformers:mistral7b_instruct_v03,C0,0.0,0.9228571428571428,0.0,2.0,3.0,558.9657142857143,699.0,142.46,35.25714285714286,350
local_transformers:mistral7b_instruct_v03,C1,0.0,0.9314285714285714,0.0,2.0,3.0,561.7057142857143,698.0,142.46,35.38857142857143,350
local_transformers:mistral7b_instruct_v03,C2,0.6971428571428572,0.29428571428571426,0.6971428571428572,4.091428571428572,4.394285714285714,467.48857142857145,702.55,204.38285714285715,28.294285714285714,350
local_transformers:mistral7b_instruct_v03,C3,0.7914285714285715,0.2,0.7914285714285715,4.3742857142857146,4.582857142857143,473.57428571428574,710.55,242.94857142857143,28.98857142857143,350
local_transformers:mistral7b_instruct_v03,C4,0.7714285714285715,0.22857142857142856,0.7714285714285715,4.314285714285714,4.542857142857143,458.25142857142856,698.0,174.43714285714285,27.874285714285715,350
